# curie_map:
#   VeNom: https://venomcoding.org/venom-codes/
#   VBO: http://purl.obolibrary.org/obo/VBO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/ai4curation/icbo-ai-tutorial/mappings/venom_to_vbo_mappings.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
#
subject_id	subject_label	predicate_id	object_id	mapping_justification	confidence	mapping_date	comment
VeNom:15238	Abyssinian	skos:exactMatch	VBO:0001830	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:22655	Allerca Hypoallergenic Cat	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:18082	American Bobtail (unspecified)	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15239	American Bobtail, Long-Haired	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15240	American Bobtail, Short-Haired	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15241	American Curl	skos:exactMatch	VBO:0010519	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15242	American Ringtail	skos:exactMatch	VBO:0100017	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15243	American Short Hair	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15244	American Wire Hair	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15245	Anatolian	skos:exactMatch	VBO:0000065	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15246	Angora	skos:exactMatch	VBO:0000723	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:22656	Arabian Mau	skos:exactMatch	VBO:0100027	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:22657	Ashanti	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:18084	Asian	skos:exactMatch	VBO:0000174	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:18086	Australian Mist (unspecified)	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15247	Australian Mist, Non-spotted	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15248	Australian Mist, Spotted	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:22658	Bahraini Dilmun Cat ( Delmun Cat )	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15249	Balinese	skos:exactMatch	VBO:0002330	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:22659	Bambino	skos:exactMatch	VBO:0100037	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15250	Bengal	skos:exactMatch	VBO:0000143	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15251	Birman	skos:exactMatch	VBO:0100042	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15252	Bombay	skos:exactMatch	VBO:0100033	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15253	Brazilian Long Hair	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15254	Brazilian Short Hair	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:22407	Breed not listed (Feline)	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:18088	British Black Tipped	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:18090	British Blue	skos:exactMatch	VBO:0002384	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15255	British Long Hair	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15256	British Red Spot	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15257	British Short Hair	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15258	Burmese	skos:exactMatch	VBO:0000168	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15259	Burmilla	skos:exactMatch	VBO:0100056	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15260	Calico	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15261	California Spangled	skos:exactMatch	VBO:0100059	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15262	Chantilly (Tiffany)	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15263	Chartreux	skos:exactMatch	VBO:0100067	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15264	Chausie	skos:exactMatch	VBO:0100068	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15265	Chinchilla	skos:exactMatch	VBO:0001241	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:22654	Colourpoint Short Hair	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15266	Cornish Rex	skos:exactMatch	VBO:0100077	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15267	Cross Breed	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
VeNom:15268	Cymric	skos:exactMatch	VBO:0100080	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:15269	Devon Rex	skos:exactMatch	VBO:0100084	semapv:ManualMappingCuration	0.95	2025-11-18	
VeNom:18747	Domestic cat (hair length unspecified)	skos:closeMatch		semapv:ManualMappingCuration	0.0	2025-11-18	No VBO match found
